x	y	z	cluster	label
0.128511	0.159258	0.184754	6	My awesome label here!
-0.260918	-0.216206	-0.251581	11	My awesome label here!
-0.218699	-0.174226	-0.321391	14	My awesome label here!
-0.248089	-0.201909	-0.273972	0	My awesome label here!
0.133343	0.179649	0.171997	6	My awesome label here!
-0.229178	-0.183346	-0.305057	14	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.157989	0.023275	0.149988	26	My awesome label here!
-0.210009	-0.168308	-0.333701	14	My awesome label here!
0.072931	0.075611	0.097923	13	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.066373	0.060300	0.105028	13	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.232226	-0.186190	-0.300160	0	My awesome label here!
-0.249692	-0.203591	-0.271254	0	My awesome label here!
0.146505	0.086542	0.181772	23	My awesome label here!
0.121111	0.114461	0.162296	24	My awesome label here!
-0.040253	0.026093	0.206649	4	My awesome label here!
-0.259161	-0.214083	-0.254773	11	My awesome label here!
0.105940	0.028524	0.028813	25	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.137073	0.126154	0.193059	6	My awesome label here!
-0.208282	-0.166564	-0.336571	14	My awesome label here!
-0.238576	-0.192197	-0.289894	0	My awesome label here!
0.070495	0.090484	0.088729	13	My awesome label here!
0.031694	0.103860	0.094765	17	My awesome label here!
-0.231484	-0.185690	-0.301209	0	My awesome label here!
0.071222	0.086049	0.091471	13	My awesome label here!
0.070495	0.090484	0.088729	13	My awesome label here!
-0.242847	-0.196476	-0.282807	0	My awesome label here!
-0.265713	-0.221393	-0.243325	11	My awesome label here!
0.104112	0.118730	0.081053	24	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.066373	0.060300	0.105028	13	My awesome label here!
0.073949	0.069412	0.101752	13	My awesome label here!
0.136882	0.095880	0.208356	23	My awesome label here!
-0.243362	-0.196956	-0.281980	0	My awesome label here!
-0.253847	-0.207932	-0.264221	0	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
0.131662	0.134028	0.164430	6	My awesome label here!
-0.254937	-0.209531	-0.262030	11	My awesome label here!
0.077712	0.116507	0.150330	24	My awesome label here!
0.129634	0.125180	0.177408	6	My awesome label here!
-0.230648	-0.184703	-0.302706	0	My awesome label here!
-0.039926	0.097905	0.067485	17	My awesome label here!
0.134914	0.162151	0.170197	6	My awesome label here!
0.065426	0.089835	0.050552	21	My awesome label here!
-0.245172	-0.198801	-0.278953	0	My awesome label here!
-0.209929	-0.167380	-0.334466	14	My awesome label here!
0.173831	-0.209623	0.345026	27	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
-0.248105	-0.201892	-0.273971	0	My awesome label here!
0.133220	-0.228299	0.336711	12	My awesome label here!
0.066531	0.051555	0.123033	13	My awesome label here!
0.092520	0.158455	0.101937	16	My awesome label here!
0.181508	-0.032092	0.150537	5	My awesome label here!
-0.229127	-0.183404	-0.305059	14	My awesome label here!
-0.259169	-0.214075	-0.254773	11	My awesome label here!
-0.208321	-0.166517	-0.336570	14	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
-0.243362	-0.196956	-0.281980	0	My awesome label here!
0.168080	0.083521	0.051764	15	My awesome label here!
0.151078	0.041524	0.071894	15	My awesome label here!
0.150976	0.141014	0.042991	2	My awesome label here!
0.132569	0.095995	0.063735	15	My awesome label here!
0.058588	0.107878	0.075625	21	My awesome label here!
0.101723	0.119114	0.126852	24	My awesome label here!
0.105940	0.028524	0.028813	25	My awesome label here!
-0.237866	-0.191494	-0.291066	0	My awesome label here!
0.145938	0.086410	0.181709	23	My awesome label here!
0.125963	0.178379	0.150111	16	My awesome label here!
0.144823	0.086149	0.181585	23	My awesome label here!
0.134326	0.107403	0.147317	28	My awesome label here!
0.141331	0.119532	0.213467	23	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.037986	0.064504	0.119182	13	My awesome label here!
0.139222	0.130756	0.183848	6	My awesome label here!
-0.219579	-0.174785	-0.320174	14	My awesome label here!
0.126666	0.158100	0.174203	6	My awesome label here!
-0.225979	-0.180340	-0.310210	14	My awesome label here!
0.133787	0.158696	0.182430	6	My awesome label here!
-0.248093	-0.201904	-0.273971	0	My awesome label here!
0.145013	0.086193	0.181606	23	My awesome label here!
0.160682	0.071852	0.056624	15	My awesome label here!
0.132803	0.013133	0.236362	9	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.142086	0.131180	0.135557	24	My awesome label here!
-0.237851	-0.191510	-0.291067	0	My awesome label here!
0.073949	0.069412	0.101752	13	My awesome label here!
0.095460	0.121776	0.154275	24	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
-0.307819	-0.263848	-0.173038	11	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.277205	-0.231837	-0.225018	11	My awesome label here!
0.063286	0.079052	0.093456	13	My awesome label here!
0.132618	0.120397	0.190773	23	My awesome label here!
0.088696	0.077747	0.133256	13	My awesome label here!
0.105940	0.028524	0.028813	25	My awesome label here!
-0.245174	-0.198799	-0.278953	0	My awesome label here!
0.065426	0.089835	0.050552	21	My awesome label here!
0.184249	-0.094639	0.126859	5	My awesome label here!
-0.240078	-0.193664	-0.287431	0	My awesome label here!
-0.243788	-0.197421	-0.281245	0	My awesome label here!
0.092520	0.158455	0.101937	16	My awesome label here!
0.133245	0.166557	0.183239	6	My awesome label here!
0.146823	0.086617	0.181807	23	My awesome label here!
-0.208833	-0.166561	-0.336071	14	My awesome label here!
0.018107	0.084413	0.091786	17	My awesome label here!
-0.235813	-0.189568	-0.294373	0	My awesome label here!
0.076446	0.054342	0.111041	13	My awesome label here!
0.129247	0.156686	0.180398	6	My awesome label here!
-0.259167	-0.214077	-0.254773	11	My awesome label here!
0.138810	0.119852	0.214724	23	My awesome label here!
0.152522	0.059067	0.208449	23	My awesome label here!
-0.232227	-0.186189	-0.300160	0	My awesome label here!
-0.256349	-0.210905	-0.259715	11	My awesome label here!
-0.257828	-0.212342	-0.257292	11	My awesome label here!
0.126142	0.148017	0.135033	16	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
-0.248074	-0.201926	-0.273973	0	My awesome label here!
0.065426	0.089835	0.050552	21	My awesome label here!
0.065578	0.088923	0.051114	21	My awesome label here!
0.137440	0.064298	0.221385	23	My awesome label here!
-0.210634	-0.168096	-0.333291	14	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.238592	-0.192180	-0.289893	0	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
-0.243362	-0.196956	-0.281980	0	My awesome label here!
0.105940	0.028524	0.028813	25	My awesome label here!
0.142086	0.131180	0.135557	24	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.212846	-0.170292	-0.329644	14	My awesome label here!
0.147002	0.086659	0.181827	23	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.076446	0.054342	0.111041	13	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
-0.222577	-0.177204	-0.315644	14	My awesome label here!
0.137645	0.143021	0.199321	6	My awesome label here!
0.092520	0.158455	0.101937	16	My awesome label here!
-0.237854	-0.191507	-0.291067	0	My awesome label here!
-0.289848	-0.243478	-0.204750	11	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.095028	0.159060	0.102252	16	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
-0.259159	-0.214085	-0.254773	11	My awesome label here!
0.105940	0.028524	0.028813	25	My awesome label here!
0.153814	0.020949	0.112912	26	My awesome label here!
0.133933	0.174710	0.153270	6	My awesome label here!
-0.188626	-0.156616	-0.361841	14	My awesome label here!
0.119979	0.031771	0.030405	25	My awesome label here!
-0.251387	-0.205387	-0.268366	0	My awesome label here!
-0.242510	-0.196077	-0.283414	0	My awesome label here!
0.117270	0.094480	0.186603	23	My awesome label here!
0.122886	0.179002	0.146037	16	My awesome label here!
0.109625	0.099057	0.140354	24	My awesome label here!
0.065578	0.088923	0.051114	21	My awesome label here!
-0.249100	-0.203071	-0.272182	0	My awesome label here!
-0.259161	-0.214083	-0.254773	11	My awesome label here!
-0.233914	-0.187837	-0.297394	0	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.149714	0.018276	0.202416	9	My awesome label here!
0.065426	0.089835	0.050552	21	My awesome label here!
-0.015906	0.086800	0.168196	29	My awesome label here!
-0.229171	-0.183354	-0.305057	14	My awesome label here!
0.133569	0.168903	0.181475	6	My awesome label here!
0.101723	0.119114	0.126852	24	My awesome label here!
-0.218365	-0.174618	-0.321401	14	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
-0.231199	-0.185140	-0.301878	0	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.076446	0.054342	0.111041	13	My awesome label here!
0.064856	0.093254	0.048449	21	My awesome label here!
0.065578	0.088923	0.051114	21	My awesome label here!
0.122038	0.175920	0.141275	16	My awesome label here!
0.134326	0.107403	0.147317	28	My awesome label here!
0.061755	0.088421	0.087665	13	My awesome label here!
0.058262	0.131639	0.024961	21	My awesome label here!
0.076446	0.054342	0.111041	13	My awesome label here!
-0.205053	-0.524007	-0.067700	3	My awesome label here!
0.065893	0.087022	0.052284	21	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
0.149721	0.062123	0.214209	23	My awesome label here!
-0.234509	-0.188419	-0.296418	0	My awesome label here!
-0.234522	-0.188404	-0.296417	0	My awesome label here!
0.142086	0.131180	0.135557	24	My awesome label here!
0.127320	0.013535	0.239025	9	My awesome label here!
0.095028	0.159060	0.102252	16	My awesome label here!
-0.275503	-0.230580	-0.227513	11	My awesome label here!
0.134349	0.163855	0.173110	6	My awesome label here!
0.079772	0.034235	0.123442	13	My awesome label here!
0.070495	0.090484	0.088729	13	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.148752	0.135275	0.095754	24	My awesome label here!
-0.220297	-0.175627	-0.318894	14	My awesome label here!
0.175141	0.044758	0.036672	15	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
0.047975	0.165401	0.052520	21	My awesome label here!
-0.246584	-0.200317	-0.276534	0	My awesome label here!
0.066373	0.060300	0.105028	13	My awesome label here!
0.061755	0.088421	0.087665	13	My awesome label here!
-0.208290	-0.166554	-0.336571	14	My awesome label here!
-0.242494	-0.196094	-0.283415	0	My awesome label here!
0.101723	0.119114	0.126852	24	My awesome label here!
-0.243362	-0.196957	-0.281980	0	My awesome label here!
-0.245174	-0.198799	-0.278953	0	My awesome label here!
0.146231	0.086478	0.181742	23	My awesome label here!
-0.225750	-0.180603	-0.310221	14	My awesome label here!
-0.233418	-0.187178	-0.298338	0	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.129014	0.166195	0.178318	6	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.147117	0.066486	0.186946	23	My awesome label here!
0.143271	0.063144	0.217746	23	My awesome label here!
-0.243362	-0.196956	-0.281980	0	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
-0.226578	-0.180893	-0.309253	14	My awesome label here!
0.142236	0.131215	0.135573	24	My awesome label here!
0.115373	0.106199	0.123723	24	My awesome label here!
0.063286	0.079052	0.093456	13	My awesome label here!
0.095028	0.159060	0.102252	16	My awesome label here!
0.126088	0.085941	0.195074	23	My awesome label here!
0.061870	0.078978	0.106234	13	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.127343	0.158272	0.183473	6	My awesome label here!
0.065426	0.089835	0.050552	21	My awesome label here!
0.005101	0.053571	0.055399	17	My awesome label here!
0.058210	0.101545	0.092259	13	My awesome label here!
0.132808	0.168754	0.181435	6	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.121847	0.170657	0.160545	6	My awesome label here!
-0.250060	-0.203900	-0.270687	0	My awesome label here!
0.143036	0.063112	0.217754	23	My awesome label here!
0.128003	0.137985	0.171846	6	My awesome label here!
0.189823	-0.093491	0.127383	5	My awesome label here!
0.140401	0.117315	0.177778	23	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
0.065426	0.089835	0.050552	21	My awesome label here!
0.064856	0.093254	0.048449	21	My awesome label here!
0.141625	0.085413	0.072076	15	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.134248	0.150488	0.169002	6	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.232233	-0.186182	-0.300160	0	My awesome label here!
-0.228118	-0.182659	-0.306533	14	My awesome label here!
0.142086	0.131180	0.135557	24	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
0.129114	0.172786	0.167961	6	My awesome label here!
-0.248077	-0.201923	-0.273973	0	My awesome label here!
0.133580	0.168906	0.181476	6	My awesome label here!
